Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 8.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,,,Microsoft.Extensions.Logging 8.0.0,,,,,"Microsoft.Extensions.Logging, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.8"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,,,AutoMapper 13.0.1,,,,,"AutoMapper, 13.0.1  Recommendation:  AutoMapper, 16.1.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber.Application\Defra.Trade.Events.EHCO.GCSubscriber.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests.csproj,File,test\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests.csproj,,,xunit 2.9.1,,,,,"xunit, 2.9.1  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests.csproj,File,test\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests\Defra.Trade.Events.EHCO.GCSubscriber.Application.UnitTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,,,Microsoft.Extensions.Caching.Memory 8.0.0,,,,,"Microsoft.Extensions.Caching.Memory, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 8.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,File,src\Defra.Trade.Events.EHCO.GCSubscriber\Defra.Trade.Events.EHCO.GCSubscriber.csproj,,,Microsoft.Extensions.Http 8.0.0,,,,,"Microsoft.Extensions.Http, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.8"
